1/3/2020 AF Afghanistan 0 0
1/4/2020 AF Afghanistan 0 0
1/5/2020 AF Afghanistan 0 0
1/6/2020 AF Afghanistan 0 0
1/7/2020 AF Afghanistan 0 0
1/8/2020 AF Afghanistan 0 0
1/9/2020 AF Afghanistan 0 0
1/10/2020 AF Afghanistan 0 0
1/11/2020 AF Afghanistan 0 0
1/12/2020 AF Afghanistan 0 0
1/13/2020 AF Afghanistan 0 0
1/14/2020 AF Afghanistan 0 0
1/15/2020 AF Afghanistan 0 0
1/16/2020 AF Afghanistan 0 0
1/17/2020 AF Afghanistan 0 0
1/18/2020 AF Afghanistan 0 0
1/19/2020 AF Afghanistan 0 0
1/20/2020 AF Afghanistan 0 0
1/21/2020 AF Afghanistan 0 0
1/22/2020 AF Afghanistan 0 0
1/23/2020 AF Afghanistan 0 0
1/24/2020 AF Afghanistan 0 0
1/25/2020 AF Afghanistan 0 0
1/26/2020 AF Afghanistan 0 0
1/27/2020 AF Afghanistan 0 0
1/28/2020 AF Afghanistan 0 0
1/29/2020 AF Afghanistan 0 0
1/30/2020 AF Afghanistan 0 0
1/31/2020 AF Afghanistan 0 0
2/1/2020 AF Afghanistan 0 0
2/2/2020 AF Afghanistan 0 0
2/3/2020 AF Afghanistan 0 0
2/4/2020 AF Afghanistan 0 0
2/5/2020 AF Afghanistan 0 0
2/6/2020 AF Afghanistan 0 0
2/7/2020 AF Afghanistan 0 0
2/8/2020 AF Afghanistan 0 0
2/9/2020 AF Afghanistan 0 0
2/10/2020 AF Afghanistan 0 0
2/11/2020 AF Afghanistan 0 0
2/12/2020 AF Afghanistan 0 0
2/13/2020 AF Afghanistan 0 0
2/14/2020 AF Afghanistan 0 0
2/15/2020 AF Afghanistan 0 0
2/16/2020 AF Afghanistan 0 0
2/17/2020 AF Afghanistan 0 0
2/18/2020 AF Afghanistan 0 0
2/19/2020 AF Afghanistan 0 0
2/20/2020 AF Afghanistan 0 0
2/21/2020 AF Afghanistan 0 0
2/22/2020 AF Afghanistan 0 0
2/23/2020 AF Afghanistan 0 0
2/24/2020 AF Afghanistan 5 0
2/25/2020 AF Afghanistan 0 0
2/26/2020 AF Afghanistan 0 0
2/27/2020 AF Afghanistan 0 0
2/28/2020 AF Afghanistan 0 0
2/29/2020 AF Afghanistan 0 0
3/1/2020 AF Afghanistan 0 0
3/2/2020 AF Afghanistan 0 0
3/3/2020 AF Afghanistan 0 0
3/4/2020 AF Afghanistan 0 0
3/5/2020 AF Afghanistan 0 0
3/6/2020 AF Afghanistan 0 0
3/7/2020 AF Afghanistan 3 0
3/8/2020 AF Afghanistan 0 0
3/9/2020 AF Afghanistan 0 0
3/10/2020 AF Afghanistan 0 0
3/11/2020 AF Afghanistan 3 0
3/12/2020 AF Afghanistan 0 0
3/13/2020 AF Afghanistan 0 0
3/14/2020 AF Afghanistan 3 0
3/15/2020 AF Afghanistan 6 0
3/16/2020 AF Afghanistan 5 0
3/17/2020 AF Afghanistan 1 0
3/18/2020 AF Afghanistan 0 0
3/19/2020 AF Afghanistan 0 0
3/20/2020 AF Afghanistan -2 0
3/21/2020 AF Afghanistan 0 0
3/22/2020 AF Afghanistan 10 0
3/23/2020 AF Afghanistan 6 1
3/24/2020 AF Afghanistan 2 0
3/25/2020 AF Afghanistan 32 0
3/26/2020 AF Afghanistan 6 1
3/27/2020 AF Afghanistan 11 0
3/28/2020 AF Afghanistan 15 1
3/29/2020 AF Afghanistan 8 1
3/30/2020 AF Afghanistan 0 0
3/31/2020 AF Afghanistan 52 0
